step,reward,reward_std,kl,entropy,mean_length,max_length,clipped_ratio,grad_norm,loss,step_time
150,0.7538,0.04032,0.09084,0.4625,322.8,510,0,0.1582,0.009085,123.4
151,0.7608,0.04309,0.09187,0.4175,265.8,377,0,0.06543,0.009187,96.49
152,0.7792,0.03841,0.09508,0.4403,264.9,458,0,0.07812,0.009508,110.1
153,0.7382,0.05698,0.08001,0.4363,321.9,517,0,0.07812,0.008001,128.1
154,0.7297,0.05174,0.09849,0.4072,277.6,423,0,0.07275,0.009849,103.5
155,0.7594,0.03873,0.1085,0.3426,261.9,356,0,0.07764,0.01085,90.02
156,0.7627,0.03365,0.08209,0.34,283.9,393,0,0.06592,0.008209,100.5
157,0.7716,0.02811,0.06098,0.3144,329.4,433,0,0.06128,0.006098,107.9
158,0.7636,0.03375,0.08725,0.3497,274.1,356,0,0.07373,0.008725,92.17
159,0.7809,0.02932,0.0965,0.3084,290.9,436,0,0.06885,0.009651,104.6
160,0.7642,0.03497,0.09181,0.2988,276,370,0,0.0625,0.00918,92.17
161,0.7541,0.04388,0.1105,0.2926,265,324,0,0.07031,0.01105,81.79
162,0.7679,0.03327,0.1469,0.2646,249.8,372,0,0.09033,0.01469,91.99
163,0.7862,0.03305,0.09276,0.3714,320.1,424,0,0.07568,0.009275,105.3
164,0.7702,0.03024,0.1121,0.2809,268.4,394,0,0.0708,0.01121,97.52
165,0.7521,0.04619,0.1125,0.3101,239.2,279,0,0.08447,0.01125,72.6
166,0.7754,0.05259,0.1543,0.3349,270.5,416,0,0.1484,0.01543,101.5
167,0.7631,0.0375,0.1551,0.2905,267.7,476,0,0.1021,0.01551,112.6
168,0.7585,0.03803,0.1082,0.3032,285.6,374,0,0.08008,0.01082,95.64
169,0.7793,0.03955,0.1454,0.3568,244.4,310,0,0.0752,0.01454,78.34
170,0.7706,0.05334,0.1079,0.293,243.4,300,0,0.07129,0.01079,75.82
171,0.7735,0.04129,0.1154,0.3216,244.4,308,0,0.08105,0.01154,78.32
172,0.7487,0.05321,0.1202,0.3762,259.1,336,0,0.08008,0.01202,86.81
173,0.7346,0.05943,0.1295,0.42,254.2,316,0,0.07617,0.01295,82.74
174,0.7683,0.05222,0.1201,0.4154,308,515,0,0.07275,0.01201,124.3
175,0.7531,0.05412,0.1147,0.3655,288.4,421,0,0.09082,0.01147,104.7
176,0.7683,0.03879,0.1309,0.4284,267.2,315,0,0.1299,0.01309,82.81
177,0.7806,0.05909,0.1335,0.3847,244.4,300,0,0.07715,0.01335,75.06
178,0.777,0.0466,0.1043,0.4165,286.1,398,0,0.06934,0.01043,101.2
179,0.7906,0.04983,0.1205,0.375,286.7,376,0,0.06982,0.01205,97.02
180,0.75,0.04646,0.1212,0.3275,259.1,451,0,0.07422,0.01212,109.5
181,0.798,0.03537,0.1226,0.3815,261,366,0,0.08203,0.01226,89.69
182,0.7938,0.0393,0.1172,0.3633,274.7,397,0,0.06641,0.01173,97.58
183,0.7872,0.02907,0.1295,0.4208,357.9,510,0,0.1157,0.01295,123.5
184,0.7672,0.04976,0.1219,0.3567,273.8,502,0,0.08301,0.01219,118.8
185,0.7912,0.02929,0.124,0.3727,291.1,517,0,0.06445,0.01241,124.2
186,0.7748,0.03639,0.1256,0.3433,265.8,395,0,0.06787,0.01256,96.06
187,0.786,0.05835,0.1178,0.3137,291.2,444,0,0.06201,0.01178,112
188,0.7901,0.03114,0.113,0.3921,306.4,424,0,0.0708,0.0113,105.5
189,0.7939,0.04957,0.1035,0.3953,321.1,567,0,0.06592,0.01035,136.1
190,0.7623,0.03067,0.1191,0.3513,285.2,431,0,0.07764,0.01191,104.7
191,0.7719,0.06075,0.1489,0.3677,279.5,369,0,0.07471,0.01489,90.86
192,0.7937,0.04714,0.1411,0.3514,258.7,353,0,0.06299,0.01411,89.14
193,0.7844,0.03491,0.1788,0.3496,298.2,405,0,0.2793,0.01788,101
194,0.8207,0.02872,0.1419,0.3666,276.9,406,0,0.05591,0.01419,100.4
195,0.7604,0.04377,0.1097,0.4398,303.6,419,0,0.07178,0.01097,103.7
196,0.7649,0.04829,0.1148,0.4503,317.3,454,0,0.0625,0.01148,109.3
197,0.7653,0.03731,0.1109,0.4539,348.1,457,0,0.06152,0.01109,110
198,0.7699,0.04897,0.1621,0.4592,277.4,388,0,0.0874,0.01621,95.64
199,0.7941,0.03681,0.1524,0.4096,281.8,413,0,0.06006,0.01524,101.2
200,0.7725,0.04384,0.1168,0.4162,327.2,416,0,0.06299,0.01168,104.3
201,0.7598,0.0516,0.1185,0.4149,305.7,429,0,0.06348,0.01185,105.1
202,0.7598,0.05104,0.1807,0.4073,279.9,359,0,0.1167,0.01807,89.31
203,0.7482,0.0494,0.1193,0.5247,323.4,463,0,0.07031,0.01193,110.5
204,0.7417,0.04789,0.1323,0.4553,323.6,436,0,0.06494,0.01323,105.6
205,0.7701,0.048,0.1304,0.4842,312.6,471,0,0.07764,0.01304,114.4
206,0.7498,0.04344,0.1093,0.4322,329.4,426,0,0.05493,0.01093,101.7
207,0.7319,0.04631,0.1233,0.4324,305.6,511,0,0.07129,0.01233,123.4
208,0.7549,0.04818,0.1323,0.4709,287,381,0,0.1025,0.01323,93.74
209,0.7709,0.05016,0.1102,0.4786,335.4,483,0,0.07129,0.01102,119.6
210,0.7435,0.05391,0.1333,0.4259,315.1,419,0,0.0752,0.01333,105
211,0.7631,0.05105,0.148,0.3991,266.7,430,0,0.06934,0.0148,108.6
212,0.7821,0.03646,0.1346,0.3492,263.4,307,0,0.06689,0.01346,79.05
213,0.7629,0.05255,0.1163,0.3685,296.4,438,0,0.07227,0.01163,108.5
214,0.772,0.04926,0.1167,0.3988,313.4,423,0,0.06641,0.01167,106.4
215,0.7682,0.0445,0.1094,0.3505,287.6,376,0,0.07715,0.01094,96.1
216,0.7918,0.03529,0.1334,0.3755,280.8,370,0,0.09082,0.01334,91.53
217,0.7667,0.04269,0.1003,0.4415,331.8,529,0,0.1089,0.01003,127.7
