step,reward,reward_std,kl,entropy,grad_norm,loss,learning_rate,completion_length,clip_high,clip_low,step_time,epoch
167,0.7421,0.04226,0.05481,0.3832,0.06543,0.005481,7.234e-05,335,0,0,107.2,0.7467
168,0.7687,0.03634,0.06412,0.3986,0.07178,0.006413,7.202e-05,338.6,0,0,119.1,0.7511
169,0.7439,0.0406,0.06134,0.3621,0.06494,0.006135,7.169e-05,324.3,0,0,94.67,0.7556
170,0.7593,0.04221,0.06479,0.3464,0.07373,0.00648,7.137e-05,314.4,0,0,101.2,0.76
171,0.7371,0.03278,0.06013,0.3516,0.05688,0.006013,7.104e-05,350.9,0,0,108.5,0.7644
172,0.7478,0.04542,0.06168,0.4185,0.06079,0.006169,7.071e-05,338.6,0,0,106.8,0.7689
173,0.7447,0.04232,0.06199,0.3666,0.05444,0.006198,7.038e-05,347.3,0,0,125.7,0.7733
174,0.7406,0.03903,0.06353,0.3396,0.06445,0.006353,7.005e-05,364.7,0,0,112,0.7778
175,0.7543,0.03653,0.06035,0.3693,0.06885,0.006035,6.972e-05,328.2,0,0,99.64,0.7822
176,0.7612,0.03849,0.08017,0.3724,0.06494,0.008017,6.938e-05,296.6,0,0,103.2,0.7867
177,0.7479,0.04,0.05688,0.4551,0.05664,0.005688,6.905e-05,360.6,0,0,108.7,0.7911
178,0.7461,0.04189,0.0604,0.3739,0.0625,0.00604,6.872e-05,317.9,0,0,102.5,0.7956
179,0.7168,0.04212,0.06947,0.3457,0.05615,0.006947,6.838e-05,304.2,0,0,104,0.8
180,0.7417,0.03337,0.07533,0.3557,0.07031,0.007532,6.804e-05,301,0,0,93.17,0.8044
181,0.743,0.03436,0.06577,0.3824,0.0625,0.006577,6.77e-05,335.8,0,0,105.9,0.8089
182,0.7387,0.04097,0.05841,0.4079,0.06299,0.00584,6.737e-05,353.2,0,0,120.9,0.8133
183,0.7371,0.03745,0.06756,0.33,0.05859,0.006756,6.703e-05,307.4,0,0,102.7,0.8178
184,0.7417,0.04449,0.05871,0.4057,0.06348,0.005871,6.668e-05,341.2,0,0,124.4,0.8222
185,0.7568,0.0272,0.07185,0.3963,0.06299,0.007185,6.634e-05,299.8,0,0,99.2,0.8267
186,0.7705,0.03845,0.06374,0.3136,0.05347,0.006374,6.6e-05,313.1,0,0,111.2,0.8311
