step,epoch,reward,reward_std,loss,kl,entropy,learning_rate,step_time_s
147,0.6533,0.7210,0.03345,0.004953,0.04953,0.3928,9.118e-05,128.0
148,0.6578,0.7305,0.05833,0.005052,0.05052,0.3403,9.104e-05,102.3
149,0.6622,0.7281,0.03904,0.005416,0.05416,0.3992,9.09e-05,127.7
150,0.6667,0.7216,0.04375,0.003561,0.0356,0.3823,9.076e-05,127.9
151,0.6711,0.7241,0.04737,0.005568,0.05568,0.4307,9.062e-05,119.6
152,0.6756,0.7148,0.03194,0.005073,0.05074,0.4138,9.048e-05,111.4
153,0.6800,0.7367,0.04832,0.005415,0.05415,0.3824,9.034e-05,128.2
154,0.6844,0.7306,0.05084,0.006684,0.06684,0.4431,9.019e-05,129.3
155,0.6889,0.7304,0.04121,0.006479,0.06479,0.3509,9.005e-05,124.7
156,0.6933,0.7312,0.03658,0.004786,0.04786,0.3910,8.991e-05,126.0
157,0.6978,0.7354,0.05081,0.004312,0.04312,0.3833,8.976e-05,121.9
158,0.7022,0.7539,0.03163,0.006321,0.06321,0.3704,8.961e-05,102.7
159,0.7067,0.7519,0.04266,0.005526,0.05526,0.3855,8.946e-05,119.6
160,0.7111,0.7301,0.04132,0.005335,0.05336,0.3560,8.932e-05,103.2
161,0.7156,0.7215,0.04151,0.006037,0.06037,0.3551,8.917e-05,91.2
162,0.7200,0.7262,0.03497,0.006472,0.06472,0.3651,8.902e-05,108.7
163,0.7244,0.7349,0.04440,0.00725,0.0725,0.4361,8.886e-05,111.2
164,0.7289,0.7498,0.04273,0.008164,0.08164,0.3426,8.871e-05,124.7
165,0.7333,0.7307,0.03882,0.006592,0.06592,0.3984,8.856e-05,109.7
166,0.7378,0.7419,0.03954,0.009597,0.09597,0.4747,8.841e-05,116.6
167,0.7422,0.7273,0.03682,0.006602,0.06603,0.3780,8.825e-05,108.4
168,0.7467,0.7470,0.04972,0.006151,0.0615,0.3644,8.809e-05,109.6
169,0.7511,0.7440,0.03372,0.006166,0.06166,0.4213,8.794e-05,111.0
170,0.7556,0.7450,0.03915,0.006383,0.06383,0.4291,8.778e-05,113.0
171,0.7600,0.7513,0.04051,0.00733,0.07331,0.3556,8.762e-05,97.6
172,0.7644,0.7486,0.03982,0.006359,0.06359,0.3803,8.746e-05,115.6
173,0.7689,0.7213,0.05665,0.006572,0.06572,0.4299,8.73e-05,123.9
174,0.7733,0.7717,0.03525,0.006319,0.06319,0.4383,8.714e-05,127.9
175,0.7778,0.7643,0.04905,0.006727,0.06728,0.3612,8.698e-05,106.9
176,0.7822,0.7681,0.04647,0.007568,0.07568,0.3913,8.682e-05,103.3
177,0.7867,0.7667,0.04527,0.006799,0.06799,0.3468,8.665e-05,112.0
178,0.7911,0.7621,0.03720,0.006608,0.06608,0.3945,8.649e-05,114.1
179,0.7956,0.7580,0.04619,0.006843,0.06843,0.3919,8.632e-05,122.9
180,0.8000,0.7470,0.04069,0.008217,0.08216,0.3356,8.616e-05,104.6
181,0.8044,0.7823,0.03709,0.007502,0.07502,0.3517,8.599e-05,126.2
182,0.8089,0.7601,0.03357,0.007348,0.07348,0.3730,8.582e-05,124.8
183,0.8133,0.7652,0.03752,0.006978,0.06979,0.3680,8.565e-05,122.3
184,0.8178,0.7515,0.04947,0.007214,0.07213,0.3453,8.548e-05,112.8
185,0.8222,0.7682,0.02915,0.006454,0.06454,0.3961,8.531e-05,128.4
186,0.8267,0.7685,0.03404,0.00808,0.0808,0.3787,8.514e-05,114.1
187,0.8311,0.7627,0.05280,0.005913,0.05915,0.3400,8.497e-05,129.3
188,0.8356,0.7613,0.03378,0.005015,0.05015,0.3491,8.48e-05,124.4
189,0.8400,0.7751,0.04911,0.003858,0.03858,0.4224,8.462e-05,105.1
190,0.8444,0.7577,0.03906,0.005293,0.05293,0.3440,8.445e-05,102.2
191,0.8489,0.7428,0.04628,0.004437,0.04437,0.3567,8.427e-05,115.2
192,0.8533,0.7265,0.05222,0.004559,0.04559,0.3780,8.41e-05,100.2
193,0.8578,0.7516,0.03896,0.005398,0.05399,0.3158,8.392e-05,101.0
194,0.8622,0.7576,0.05520,0.005369,0.05369,0.3743,8.374e-05,104.8
195,0.8667,0.7251,0.04700,0.005195,0.05195,0.3957,8.356e-05,115.5
196,0.8711,0.7403,0.03745,0.004959,0.04959,0.3557,8.338e-05,107.1
197,0.8756,0.7714,0.02583,0.005667,0.05669,0.3553,8.32e-05,114.4
198,0.8800,0.7536,0.05625,0.006282,0.06281,0.3561,8.302e-05,109.3
199,0.8844,0.7580,0.05394,0.006447,0.06447,0.3364,8.284e-05,103.4
200,0.8889,0.7938,0.03826,0.005412,0.05413,0.3545,8.266e-05,101.2
201,0.8933,0.7891,0.03669,0.005436,0.05435,0.3136,8.248e-05,101.9
202,0.8978,0.7802,0.03309,0.008015,0.08015,0.3309,8.229e-05,96.0
203,0.9022,0.7660,0.04423,0.007258,0.07258,0.4059,8.211e-05,100.6
204,0.9067,0.7758,0.04029,0.006476,0.06476,0.3879,8.192e-05,107.5
205,0.9111,0.7776,0.04345,0.006999,0.06999,0.3680,8.174e-05,127.9
206,0.9156,0.7739,0.03348,0.008352,0.08352,0.3489,8.155e-05,127.0
207,0.9200,0.7840,0.03726,0.007112,0.07112,0.3855,8.136e-05,109.7
208,0.9244,0.7748,0.03737,0.007128,0.07128,0.4061,8.117e-05,99.8
209,0.9289,0.7732,0.04080,0.005913,0.05913,0.4731,8.099e-05,121.2
210,0.9333,0.7667,0.04473,0.008486,0.08486,0.4173,8.08e-05,102.7
211,0.9378,0.7848,0.02774,0.009255,0.09255,0.4283,8.061e-05,112.1
212,0.9422,0.7808,0.04732,0.008789,0.0879,0.3943,8.041e-05,101.0
213,0.9467,0.7787,0.04076,0.009036,0.09036,0.4269,8.022e-05,97.7
214,0.9511,0.7811,0.03918,0.007049,0.07048,0.4448,8.003e-05,125.2
215,0.9556,0.7632,0.04741,0.006738,0.06737,0.4299,7.984e-05,106.2
216,0.9600,0.7847,0.03925,0.008866,0.08866,0.4002,7.964e-05,101.5
217,0.9644,0.7590,0.05682,0.006845,0.06846,0.4025,7.945e-05,115.7
218,0.9689,0.7521,0.05528,0.007261,0.07261,0.3511,7.925e-05,98.5
219,0.9733,0.7748,0.03959,0.00752,0.0752,0.4167,7.906e-05,115.4
220,0.9778,0.7757,0.04135,0.01624,0.1624,0.4054,7.886e-05,108.8
221,0.9822,0.7570,0.03963,0.008081,0.08081,0.4195,7.866e-05,114.3
222,0.9867,0.7526,0.04410,0.008015,0.08015,0.3906,7.846e-05,109.9
223,0.9911,0.7229,0.03590,0.008772,0.08772,0.3991,7.827e-05,85.5
224,0.9956,0.7500,0.06048,0.008757,0.08757,0.4222,7.807e-05,94.8
225,1.0000,0.7177,0.04249,0.01083,0.1083,0.3958,7.787e-05,85.8
226,1.0040,0.7400,0.05029,0.009474,0.09474,0.3992,7.767e-05,96.9
227,1.0090,0.7257,0.04298,0.01054,0.1054,0.4165,7.746e-05,92.0
228,1.0130,0.7391,0.04094,0.009755,0.09756,0.3740,7.726e-05,92.4
229,1.0180,0.7336,0.05376,0.01082,0.1082,0.4549,7.706e-05,90.5
230,1.0220,0.7152,0.09350,0.009939,0.09939,0.3737,7.686e-05,87.4
231,1.0270,0.7370,0.04897,0.01078,0.1078,0.4123,7.665e-05,99.6
232,1.0310,0.7608,0.03887,0.0125,0.125,0.4549,7.645e-05,124.6
233,1.0360,0.7293,0.05530,0.01016,0.1016,0.3794,7.624e-05,92.5
234,1.0400,0.6703,0.04098,0.008313,0.08313,0.4399,7.604e-05,84.3
235,1.0440,0.6633,0.06850,0.007656,0.07656,0.4168,7.583e-05,95.7
236,1.0490,0.6672,0.03658,0.005863,0.05864,0.3727,7.562e-05,77.8
237,1.0530,0.6564,0.03908,0.004906,0.04907,0.3756,7.542e-05,86.2
238,1.0580,0.6708,0.03884,0.01062,0.1062,0.3950,7.521e-05,94.4
239,1.0620,0.6489,0.01696,0.003997,0.03997,0.3884,7.5e-05,83.2
240,1.0670,0.6790,0.04544,0.006345,0.06345,0.3924,7.479e-05,90.8
241,1.0710,0.6544,0.02679,0.005363,0.05363,0.3659,7.458e-05,81.8
242,1.0760,0.6733,0.04429,0.006834,0.06834,0.3539,7.437e-05,78.0
243,1.0800,0.6681,0.04323,0.004706,0.04706,0.3724,7.416e-05,84.4
244,1.0840,0.6895,0.03991,0.005445,0.05445,0.5530,7.395e-05,125.8
245,1.0890,0.6946,0.04803,0.005878,0.05878,0.4566,7.374e-05,83.1
246,1.0930,0.7192,0.05342,0.006905,0.06905,0.4381,7.352e-05,113.1
247,1.0980,0.6932,0.05286,0.005528,0.05529,0.3999,7.331e-05,93.0
248,1.1020,0.7414,0.04981,0.006433,0.06434,0.4437,7.31e-05,95.7
