step,reward,kl,grad_norm,loss,learning_rate,completion_length,step_time,epoch
122,0.7271,0.01704,0.0459,0.001703,6.289e-05,331.8,112.1,1.098
123,0.7122,0.01869,0.04395,0.00187,6.233e-05,300.2,110.8,1.107
124,0.7128,0.024,0.05103,0.0024,6.177e-05,284.1,114.4,1.116
125,0.707,0.02219,0.04443,0.002218,6.121e-05,308.9,109.5,1.125
126,0.726,0.02965,0.05835,0.002965,6.064e-05,294.7,123.7,1.134
127,0.7258,0.01711,0.04858,0.001711,6.007e-05,302.9,108.3,1.143
128,0.7394,0.03303,0.04761,0.003303,5.951e-05,282.2,100.1,1.152
129,0.7179,0.01936,0.04663,0.001936,5.894e-05,311.6,113,1.161
130,0.7195,0.02947,0.05029,0.00295,5.837e-05,253.1,86.21,1.17
131,0.7241,0.02046,0.04858,0.002046,5.779e-05,279.9,91.05,1.179
132,0.7112,0.0463,0.09814,0.004629,5.722e-05,293.1,95.75,1.188
133,0.7324,0.0175,0.04736,0.001751,5.665e-05,279,97.99,1.196
134,0.7373,0.02223,0.05078,0.002222,5.607e-05,265.6,83.48,1.205
135,0.7145,0.02393,0.04492,0.002393,5.55e-05,296.7,130.3,1.214
136,0.7212,0.01864,0.05347,0.001865,5.492e-05,294.9,122.4,1.223
137,0.7405,0.02056,0.04492,0.002056,5.434e-05,295,109.5,1.232
138,0.7003,0.01667,0.04688,0.001666,5.376e-05,298.1,118.7,1.241
139,0.7149,0.02342,0.0481,0.002342,5.319e-05,303.1,131.5,1.25
140,0.7157,0.02045,0.04565,0.002044,5.261e-05,293.5,97.34,1.259
141,0.7159,0.01389,0.04614,0.001388,5.203e-05,278.4,102.3,1.268
142,0.6974,0.01417,0.05151,0.001415,5.145e-05,297.9,118.3,1.277
143,0.6943,0.01912,0.1855,0.001915,5.087e-05,297.7,107.5,1.286
144,0.7272,0.02004,0.126,0.002004,5.029e-05,299.2,128,1.295
145,0.7166,0.01334,0.04883,0.001333,4.971e-05,291.7,95.69,1.304
146,0.7055,0.03266,0.09766,0.003264,4.913e-05,307.1,109.2,1.312
147,0.7197,0.04985,0.1191,0.004986,4.855e-05,279.1,94.31,1.321
148,0.6959,0.01548,0.05566,0.001548,4.797e-05,300.1,108.4,1.33
149,0.7047,0.02319,0.0481,0.002319,4.739e-05,276.9,128.5,1.339
150,0.7078,0.02434,0.06445,0.002434,4.681e-05,278,120.8,1.348
151,0.731,0.01602,0.04761,0.001603,4.624e-05,322.7,124.9,1.357
152,0.6983,0.01476,0.05713,0.001476,4.566e-05,286.6,108.7,1.366
153,0.6764,0.01146,0.04785,0.001146,4.508e-05,265,86.88,1.375
154,0.6948,0.01217,0.0459,0.001217,4.45e-05,275.2,89.42,1.384
155,0.6918,0.0129,0.03931,0.00129,4.393e-05,280.7,100.1,1.393
156,0.6992,0.01082,0.05811,0.001082,4.335e-05,260.5,91.03,1.402
157,0.6802,0.01107,0.04639,0.001107,4.278e-05,282.6,105.1,1.411
158,0.6869,0.01124,0.05054,0.001126,4.221e-05,274.6,89.39,1.42
159,0.7018,0.01168,0.04517,0.001172,4.163e-05,278.2,88.39,1.429
160,0.6909,0.01379,0.04858,0.001379,4.106e-05,280.8,94.22,1.438
161,0.6805,0.01051,0.0415,0.001057,4.049e-05,304.4,121.1,1.446
162,0.6923,0.01046,0.04614,0.001047,3.993e-05,276.7,99.84,1.455
163,0.6945,0.01109,0.04126,0.001109,3.936e-05,281.4,98.89,1.464
164,0.7045,0.01303,0.04639,0.001302,3.879e-05,286.8,104.6,1.473
165,0.6987,0.01171,0.04346,0.001172,3.823e-05,298.6,130.6,1.482
166,0.7071,0.01253,0.04272,0.001253,3.767e-05,328.6,126.1,1.491
167,0.7111,0.01321,0.04297,0.001321,3.711e-05,264.1,89.46,1.5
168,0.6938,0.01033,0.04443,0.001033,3.655e-05,326.1,126.3,1.509
169,0.7025,0.0133,0.04614,0.001334,3.599e-05,276.6,98.12,1.518
170,0.6824,0.01359,0.0437,0.001358,3.543e-05,291.4,109.3,1.527
171,0.7063,0.01357,0.04443,0.001357,3.488e-05,296.8,114.3,1.536
172,0.704,0.01475,0.04517,0.001475,3.433e-05,280.1,97.57,1.545
173,0.6978,0.01535,0.09814,0.001536,3.378e-05,259.6,93.09,1.554
174,0.6966,0.01466,0.04297,0.001466,3.323e-05,281.5,102.1,1.562
175,0.6831,0.01978,0.05273,0.001979,3.269e-05,277.6,103.7,1.571
176,0.6934,0.02325,0.06982,0.002327,3.214e-05,292.4,101,1.58
177,0.7176,0.01247,0.08496,0.001246,3.16e-05,290.4,108,1.589
178,0.6936,0.0137,0.0498,0.001371,3.107e-05,297.5,123.7,1.598
179,0.7072,0.01526,0.05664,0.001525,3.053e-05,299.9,99.97,1.607
180,0.6848,0.02098,0.05493,0.002098,3e-05,288,105.5,1.616
181,0.7059,0.01598,0.04102,0.001597,2.947e-05,304.1,114.4,1.625
182,0.7128,0.01478,0.04565,0.001488,2.894e-05,303.9,103.1,1.634
183,0.6992,0.01321,0.0415,0.001323,2.842e-05,291.1,108.9,1.643
184,0.7279,0.01995,0.04663,0.001996,2.79e-05,272.8,98.22,1.652
185,0.7055,0.01305,0.05737,0.001305,2.738e-05,297.9,128.9,1.661
186,0.7126,0.01688,0.04224,0.001688,2.686e-05,272.5,97.8,1.67
187,0.7148,0.01329,0.04199,0.001328,2.635e-05,304.1,107.4,1.679
188,0.691,0.01689,0.04785,0.001689,2.584e-05,284.3,100.2,1.688
189,0.7102,0.0126,0.04248,0.001259,2.534e-05,318.9,125.9,1.696
190,0.7275,0.01649,0.0459,0.001649,2.483e-05,294.9,98.49,1.705
191,0.708,0.02144,0.05273,0.002143,2.433e-05,280.8,91.75,1.714
192,0.7086,0.0127,0.04956,0.00127,2.384e-05,296.1,92.05,1.723
193,0.7069,0.01585,0.04419,0.001584,2.335e-05,298.8,107.6,1.732
194,0.705,0.02333,0.04834,0.002333,2.286e-05,299.1,91.16,1.741
195,0.7069,0.01736,0.0459,0.001733,2.237e-05,275.6,106.8,1.75
196,0.7075,0.01288,0.0481,0.001287,2.189e-05,308.4,102.6,1.759
197,0.7069,0.01377,0.04639,0.001376,2.141e-05,324.1,119.4,1.768
198,0.7128,0.01807,0.04688,0.001808,2.094e-05,287.6,107.7,1.777
199,0.714,0.02115,0.04517,0.002115,2.047e-05,283.8,95,1.786
200,0.7314,0.01313,0.04395,0.001315,2e-05,311.1,104.4,1.795
201,0.6888,0.01474,0.08301,0.001474,1.954e-05,279.9,88.46,1.804
202,0.7172,0.01117,0.03809,0.001119,1.909e-05,341.8,128.6,1.812
203,0.6937,0.01421,0.04785,0.001421,1.863e-05,309.4,102.4,1.821
204,0.6948,0.01285,0.03906,0.001285,1.818e-05,297.1,97.39,1.83
205,0.7006,0.01472,0.04541,0.00147,1.774e-05,297.1,112.8,1.839
206,0.7191,0.01179,0.0459,0.001179,1.73e-05,304.9,109.9,1.848
207,0.7271,0.01327,0.03906,0.001327,1.686e-05,316.1,121.3,1.857
208,0.7072,0.01381,0.0437,0.00138,1.643e-05,310.5,109.3,1.866
209,0.7174,0.01561,0.05127,0.001562,1.6e-05,302.9,107.4,1.875
210,0.7147,0.01184,0.0415,0.001184,1.558e-05,297.6,98.59,1.884
211,0.6911,0.01844,0.04736,0.001844,1.516e-05,288.3,95.16,1.893
212,0.7187,0.01797,0.0481,0.001797,1.475e-05,285.9,97.36,1.902
213,0.7172,0.01488,0.04224,0.001486,1.434e-05,316.2,117.8,1.911
214,0.6961,0.02171,0.04883,0.002172,1.393e-05,271.8,91.7,1.92
215,0.697,0.01181,0.04834,0.001182,1.354e-05,294.6,107.8,1.929
216,0.7076,0.01124,0.04492,0.001125,1.314e-05,306.1,105.1,1.938
217,0.7025,0.01588,0.0459,0.00159,1.275e-05,312.6,120.2,1.946
218,0.6895,0.01384,0.03882,0.001384,1.237e-05,279.2,100.4,1.955
219,0.6964,0.01295,0.04517,0.001295,1.199e-05,288.9,108.5,1.964
220,0.7102,0.01847,0.04614,0.001848,1.162e-05,301.2,105.7,1.973
221,0.708,0.02339,0.05225,0.002338,1.125e-05,295.8,113.5,1.982
222,0.7147,0.01306,0.04004,0.001303,1.088e-05,324.9,111.3,1.991
223,0.7199,0.01303,0.04468,0.001302,1.052e-05,315.4,127.6,2
224,0.6988,0.01038,0.03979,0.001038,1.017e-05,299.9,101.5,2.009
225,0.7077,0.02028,0.04541,0.002027,9.823e-06,287.6,118.8,2.018
226,0.7086,0.01408,0.03906,0.001408,9.481e-06,307.3,119.5,2.027
227,0.711,0.01711,0.04077,0.001712,9.144e-06,297.9,105.4,2.036
228,0.7107,0.01182,0.04419,0.001183,8.813e-06,307.9,118,2.045
229,0.7039,0.01348,0.05884,0.001348,8.487e-06,307,120.9,2.054
230,0.7167,0.01873,0.06152,0.001872,8.167e-06,298.2,104.1,2.062
231,0.7054,0.01401,0.05005,0.001401,7.852e-06,294,99.81,2.071
232,0.6859,0.01356,0.04663,0.001361,7.543e-06,267.1,91.85,2.08
233,0.7194,0.01749,0.03955,0.001748,7.24e-06,324.6,115.6,2.089
234,0.7067,0.01512,0.04907,0.001513,6.942e-06,274.4,98.21,2.098
235,0.6947,0.01596,0.04736,0.001596,6.651e-06,258.1,86.4,2.107
236,0.7114,0.01314,0.05688,0.001315,6.365e-06,312.7,115.9,2.116
237,0.7328,0.01523,0.04639,0.001524,6.085e-06,290.8,93.49,2.125
238,0.694,0.01597,0.05371,0.001597,5.81e-06,290.1,106.4,2.134
239,0.7157,0.01222,0.04053,0.001224,5.542e-06,295.9,104.3,2.143
240,0.7117,0.01815,0.03979,0.001815,5.28e-06,295.2,104.1,2.152
241,0.7211,0.01239,0.03931,0.001238,5.024e-06,323.7,125.1,2.161
242,0.6807,0.04632,0.07227,0.004633,4.773e-06,285.9,130.6,2.17
243,0.7136,0.01529,0.04492,0.001528,4.529e-06,280.2,102.8,2.179
244,0.7259,0.02131,0.04419,0.00213,4.291e-06,267.5,85.26,2.188
245,0.7261,0.01526,0.05029,0.001525,4.059e-06,298,100.1,2.196
246,0.7013,0.01601,0.04468,0.001602,3.834e-06,297.9,116.3,2.205
247,0.7018,0.01212,0.04419,0.001212,3.614e-06,289.9,94.07,2.214
248,0.703,0.01536,0.04565,0.001536,3.401e-06,271.5,93.34,2.223
249,0.6975,0.01379,0.05005,0.001378,3.194e-06,282.2,99.46,2.232
250,0.7091,0.01197,0.07715,0.001197,2.993e-06,294.4,104.7,2.241
251,0.7109,0.01239,0.04639,0.001239,2.799e-06,274.6,92.76,2.25
252,0.7353,0.01156,0.0481,0.001155,2.611e-06,340.3,109.9,2.259
253,0.6914,0.01723,0.04932,0.001723,2.429e-06,274.9,86.75,2.268
254,0.7111,0.01053,0.04517,0.001053,2.254e-06,301.4,116.2,2.277
255,0.7177,0.01731,0.04736,0.001732,2.085e-06,300.4,107.6,2.286
256,0.7023,0.01186,0.03711,0.001186,1.923e-06,289.5,101.4,2.295
257,0.7155,0.01869,0.04639,0.00187,1.767e-06,282.1,117.8,2.304
258,0.6845,0.01355,0.04224,0.001356,1.617e-06,299.7,115.5,2.312
259,0.701,0.01601,0.05005,0.001602,1.474e-06,306.7,118.4,2.321
260,0.7195,0.01434,0.04321,0.001437,1.338e-06,288.9,100.9,2.33
261,0.7063,0.01249,0.04468,0.001247,1.208e-06,295.8,130.8,2.339
262,0.691,0.01782,0.05469,0.001785,1.085e-06,286.8,103.2,2.348
263,0.7103,0.01157,0.04517,0.001157,9.678e-07,304.6,104.4,2.357
264,0.7255,0.01426,0.04346,0.001432,8.576e-07,319.5,125,2.366
265,0.7077,0.01835,0.05225,0.001835,7.54e-07,276.3,89.37,2.375
266,0.7117,0.02336,0.0459,0.002337,6.571e-07,277.2,106,2.384
267,0.6883,0.01555,0.04224,0.001555,5.667e-07,307.8,117.7,2.393
268,0.7157,0.01266,0.04248,0.001265,4.83e-07,289.7,96.7,2.402
269,0.6939,0.01753,0.05981,0.001751,4.06e-07,287.4,91.42,2.411
270,0.7029,0.01676,0.04419,0.001677,3.356e-07,309.8,117,2.42
271,0.708,0.0159,0.0498,0.001589,2.719e-07,324,123.9,2.429
272,0.7076,0.009687,0.03784,0.0009701,2.149e-07,302.7,108.3,2.438
273,0.692,0.01461,0.05005,0.001459,1.645e-07,280.6,89.55,2.446
274,0.7102,0.01663,0.0437,0.001663,1.209e-07,326.5,111.5,2.455
275,0.6791,0.01914,0.05713,0.001914,8.397e-08,267.3,90.75,2.464
276,0.7169,0.01966,0.04492,0.001966,5.375e-08,278.5,115.2,2.473
277,0.7193,0.01234,0.04175,0.00123,3.023e-08,294.5,97.04,2.482
278,0.7031,0.0164,0.04834,0.001639,1.344e-08,305.4,110.5,2.491
279,0.7131,0.01137,0.04175,0.001135,3.36e-09,288.2,96.61,2.5
