step,reward,mean_length,kl,step_time,grad_norm,lr
322,0.7392,320.6,0.1203,114.1,0.1299,5.614e-05
323,0.7392,303.7,0.1355,104.0,0.0835,5.59e-05
324,0.7588,328.4,0.1376,111.2,0.09082,5.566e-05
325,0.7689,333.2,0.09038,105.6,0.07324,5.542e-05
326,0.7639,343.1,0.1013,107.4,0.08447,5.518e-05
327,0.7605,341.8,0.1314,109.5,0.08643,5.494e-05
328,0.7564,312.0,0.1305,92.4,0.07764,5.47e-05
329,0.7441,288.9,0.1247,94.45,0.07471,5.446e-05
330,0.7519,317.8,0.1255,99.92,0.08203,5.422e-05
331,0.7404,306.4,0.1117,94.85,0.08398,5.398e-05
332,0.7903,316.1,0.1174,103.4,0.06787,5.374e-05
333,0.7663,290.6,0.1281,91.88,0.08252,5.35e-05
334,0.7713,320.2,0.1144,108.5,0.07568,5.326e-05
335,0.77,341.6,0.1196,115.4,0.07617,5.301e-05
336,0.7637,321.8,0.1244,113.3,0.08203,5.277e-05
337,0.7602,333.4,0.1106,114.7,0.08447,5.253e-05
338,0.787,352.7,0.1067,113.3,0.07227,5.229e-05
339,0.7608,335.0,0.1228,103.7,0.08398,5.205e-05
340,0.793,319.2,0.1161,102.6,0.07178,5.181e-05
341,0.7812,319.6,0.1157,97.02,0.0791,5.157e-05
342,0.7616,329.5,0.1165,111.4,0.08008,5.133e-05
343,0.7704,304.1,0.1286,109.8,0.07178,5.109e-05
344,0.7852,336.3,0.1208,125.8,0.07959,5.084e-05
345,0.7673,298.9,0.1297,92.19,0.08398,5.06e-05
346,0.7824,320.3,0.1168,104.4,0.07812,5.036e-05
347,0.7862,344.2,0.1171,115.9,0.08105,5.012e-05
348,0.7505,327.0,0.1189,100.5,0.07959,4.988e-05
349,0.7676,350.9,0.1026,108.8,0.07666,4.964e-05
350,0.7875,337.9,0.1152,105.7,0.06348,4.94e-05
351,0.7833,328.4,0.1303,102.7,0.07861,4.916e-05
352,0.7785,321.4,0.1049,107.5,0.07373,4.891e-05
353,0.8041,307.8,0.1457,95.81,0.07959,4.867e-05
